#ies_format_version: 1.0
#file: 20250717_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	channel1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	channel1
20250717;	172215;	1752753135.000;	       err32
20250717;	172220;	1752753140.000;	        err8
20250717;	172225;	1752753145.000;	       err32
20250717;	172230;	1752753150.000;	       err32
20250717;	172235;	1752753155.000;	       err32
20250717;	172240;	1752753160.000;	       err32
20250717;	172245;	1752753165.000;	       err32
20250717;	172250;	1752753170.000;	       err32
20250717;	172255;	1752753175.000;	       err32
20250717;	172300;	1752753180.000;	        err8
20250717;	172305;	1752753185.000;	        err8
20250717;	172310;	1752753190.000;	        err8
20250717;	172315;	1752753195.000;	        err8
20250717;	172320;	1752753200.000;	       err19
20250717;	172325;	1752753205.000;	       err19
20250717;	172330;	1752753210.000;	       err19
20250717;	172335;	1752753215.000;	       err19
20250717;	172340;	1752753220.000;	       err32
20250717;	172345;	1752753225.000;	       err32
20250717;	172350;	1752753230.000;	       err32
20250717;	172355;	1752753235.000;	       err32
20250717;	172400;	1752753240.000;	        err8
20250717;	172405;	1752753245.000;	       err32
20250717;	172410;	1752753250.000;	       err32
20250717;	172415;	1752753255.000;	       err32
20250717;	172420;	1752753260.000;	       err32
20250717;	172425;	1752753265.000;	       err32
20250717;	172430;	1752753270.000;	       err32
20250717;	172435;	1752753275.000;	       err32
20250717;	172440;	1752753280.000;	       err32
20250717;	172445;	1752753285.000;	       err32
20250717;	172450;	1752753290.000;	        err8
20250717;	172455;	1752753295.000;	        err8
20250717;	172500;	1752753300.000;	        err8
20250717;	172505;	1752753305.000;	        err8
20250717;	172510;	1752753310.000;	       err19
20250717;	172515;	1752753315.000;	       err19
20250717;	172520;	1752753320.000;	       err19
20250717;	172525;	1752753325.000;	       err19
20250717;	172530;	1752753330.000;	       err19
20250717;	172535;	1752753335.000;	       err19
20250717;	172540;	1752753340.000;	       err19
20250717;	172545;	1752753345.000;	       err19
20250717;	172550;	1752753350.000;	       err19
20250717;	172555;	1752753355.000;	       err19
20250717;	172600;	1752753360.000;	       err19
20250717;	172605;	1752753365.000;	       err19
20250717;	172610;	1752753370.000;	       err19
20250717;	172615;	1752753375.000;	       err19
20250717;	172620;	1752753380.000;	       err19
20250717;	172625;	1752753385.000;	       err19
20250717;	172630;	1752753390.000;	       err19
20250717;	172635;	1752753395.000;	       err19
20250717;	172640;	1752753400.000;	       err32
20250717;	172645;	1752753405.000;	       err32
20250717;	172650;	1752753410.000;	       err32
20250717;	172655;	1752753415.000;	       err32
20250717;	172700;	1752753420.000;	       err32
20250717;	172705;	1752753425.000;	       err32
20250717;	172710;	1752753430.000;	       err32
20250717;	172715;	1752753435.000;	        err8
20250717;	172720;	1752753440.000;	        err8
20250717;	172725;	1752753445.000;	        err8
20250717;	172730;	1752753450.000;	        err8
20250717;	172735;	1752753455.000;	       err19
20250717;	172740;	1752753460.000;	       err19
20250717;	172745;	1752753465.000;	       err19
20250717;	172750;	1752753470.000;	       err19
20250717;	172755;	1752753475.000;	       err19
20250717;	172800;	1752753480.000;	       err19
20250717;	172805;	1752753485.000;	       err19
20250717;	172810;	1752753490.000;	       err19
20250717;	172815;	1752753495.000;	       err19
20250717;	172820;	1752753500.000;	       err19
20250717;	172825;	1752753505.000;	       err19
20250717;	172830;	1752753510.000;	       err19
20250717;	172835;	1752753515.000;	       err19
20250717;	172840;	1752753520.000;	       err19
20250717;	172845;	1752753525.000;	       err19
20250717;	172850;	1752753530.000;	       err19
20250717;	172855;	1752753535.000;	       err19
20250717;	172900;	1752753540.000;	       err19
20250717;	172905;	1752753545.000;	       err19
20250717;	172910;	1752753550.000;	       err19
20250717;	172915;	1752753555.000;	       err19
20250717;	172920;	1752753560.000;	       err19
20250717;	172925;	1752753565.000;	       err19
20250717;	172930;	1752753570.000;	       err19
20250717;	172935;	1752753575.000;	       err19
20250717;	172940;	1752753580.000;	       err19
20250717;	172945;	1752753585.000;	       err19
20250717;	172950;	1752753590.000;	       err19
20250717;	172955;	1752753595.000;	       err19
20250717;	173000;	1752753600.000;	       err19
20250717;	173005;	1752753605.000;	       err19
20250717;	173010;	1752753610.000;	       err19
20250717;	173015;	1752753615.000;	       err19
20250717;	173020;	1752753620.000;	       err19
20250717;	173025;	1752753625.000;	       err19
20250717;	173030;	1752753630.000;	       err19
20250717;	173035;	1752753635.000;	       err19
20250717;	173040;	1752753640.000;	       err19
20250717;	173045;	1752753645.000;	       err19
20250717;	173050;	1752753650.000;	       err19
20250717;	173055;	1752753655.000;	       err19
20250717;	173100;	1752753660.000;	       err19
20250717;	173105;	1752753665.000;	       err32
20250717;	173110;	1752753670.000;	       err32
20250717;	173115;	1752753675.000;	       err32
20250717;	173120;	1752753680.000;	       err32
20250717;	173125;	1752753685.000;	       err32
20250717;	173130;	1752753690.000;	       err32
20250717;	173135;	1752753695.000;	       err32
20250717;	173140;	1752753700.000;	       err32
20250717;	173145;	1752753705.000;	       err32
20250717;	173150;	1752753710.000;	       err32
20250717;	173155;	1752753715.000;	       err32
20250717;	173200;	1752753720.000;	       err32
20250717;	173205;	1752753725.000;	       err32
20250717;	173210;	1752753730.000;	       err32
20250717;	173215;	1752753735.000;	       err32
20250717;	173220;	1752753740.000;	       err32
20250717;	173225;	1752753745.000;	       err32
