#ies_format_version: 1.0
#file: 20250724_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	healthStatus;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	breakerPosition;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#006;	frequency;	FALSE;	TRUE;	0;	other;	FLOAT,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	healthStatus;	breakerPosition;	frequency
20250724;	170440;	1753356880.000;	  err8;	  err8;	     err8
20250724;	170445;	1753356885.000;	  err8;	  err8;	     err8
20250724;	170450;	1753356890.000;	     1;	 err19;	    err19
20250724;	170455;	1753356895.000;	     1;	 err19;	    err19
20250724;	170500;	1753356900.000;	     1;	 err19;	    err19
20250724;	170505;	1753356905.000;	     1;	 err19;	    err19
20250724;	170510;	1753356910.000;	     1;	 err19;	    err19
20250724;	170515;	1753356915.000;	     1;	 err19;	    err19
20250724;	170520;	1753356920.000;	     1;	 err19;	    err19
20250724;	170525;	1753356925.000;	     1;	 err19;	    err19
20250724;	170530;	1753356930.000;	     1;	 err19;	    err19
20250724;	170535;	1753356935.000;	     1;	 err19;	    err19
20250724;	170540;	1753356940.000;	     1;	 err19;	    err19
20250724;	170545;	1753356945.000;	     1;	 err19;	    err19
20250724;	170550;	1753356950.000;	     1;	 err19;	    err19
20250724;	170555;	1753356955.000;	     1;	 err19;	    err19
20250724;	170600;	1753356960.000;	     1;	 err19;	    err19
20250724;	170605;	1753356965.000;	     1;	 err19;	    err19
20250724;	170610;	1753356970.000;	     1;	 err19;	    err19
20250724;	170615;	1753356975.000;	     1;	 err19;	    err19
20250724;	170620;	1753356980.000;	     1;	 err19;	    err19
20250724;	170625;	1753356985.000;	     1;	 err19;	    err19
20250724;	170630;	1753356990.000;	     1;	 err19;	    err19
20250724;	170635;	1753356995.000;	     1;	 err19;	    err19
20250724;	170640;	1753357000.000;	     1;	 err19;	    err19
20250724;	170645;	1753357005.000;	     1;	 err19;	    err19
20250724;	170650;	1753357010.000;	     1;	 err19;	    err19
20250724;	170655;	1753357015.000;	     1;	 err19;	    err19
20250724;	170700;	1753357020.000;	     1;	 err19;	    err19
20250724;	170705;	1753357025.000;	     1;	 err19;	    err19
20250724;	170710;	1753357030.000;	     1;	 err19;	    err19
20250724;	170715;	1753357035.000;	     1;	 err19;	    err19
20250724;	170720;	1753357040.000;	     1;	 err19;	    err19
20250724;	170725;	1753357045.000;	     1;	 err19;	    err19
20250724;	170730;	1753357050.000;	 err32;	 err32;	    err32
20250724;	170735;	1753357055.000;	 err32;	 err32;	    err32
20250724;	170740;	1753357060.000;	 err32;	 err32;	    err32
20250724;	170745;	1753357065.000;	 err32;	 err32;	    err32
20250724;	170750;	1753357070.000;	 err32;	 err32;	    err32
20250724;	170755;	1753357075.000;	  err8;	  err8;	     err8
20250724;	170800;	1753357080.000;	  err7;	  err7;	     err7
20250724;	170805;	1753357085.000;	     1;	 err19;	    err19
20250724;	170810;	1753357090.000;	     1;	 err19;	    err19
20250724;	170815;	1753357095.000;	     1;	 err19;	    err19
20250724;	170820;	1753357100.000;	     1;	 err19;	    err19
20250724;	170825;	1753357105.000;	     1;	 err19;	    err19
20250724;	170830;	1753357110.000;	     1;	 err19;	    err19
20250724;	170835;	1753357115.000;	     1;	 err19;	    err19
20250724;	170840;	1753357120.000;	     1;	 err19;	    err19
20250724;	170845;	1753357125.000;	     1;	 err19;	    err19
20250724;	170850;	1753357130.000;	     1;	 err19;	    err19
20250724;	170855;	1753357135.000;	     1;	 err19;	    err19
20250724;	170900;	1753357140.000;	     1;	 err19;	    err19
20250724;	170905;	1753357145.000;	 err32;	 err32;	    err32
