#ies_format_version: 1.0
#file: 20250718_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	healthStatus;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	breakerPosition;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#006;	frequency;	FALSE;	TRUE;	0;	other;	FLOAT,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	healthStatus;	breakerPosition;	frequency
20250718;	103205;	1752814925.000;	 err32;	 err32;	    err32
20250718;	103210;	1752814930.000;	 err32;	 err32;	    err32
20250718;	103215;	1752814935.000;	 err32;	 err32;	    err32
20250718;	103220;	1752814940.000;	 err32;	 err32;	    err32
20250718;	103225;	1752814945.000;	 err32;	 err32;	    err32
20250718;	103230;	1752814950.000;	 err32;	 err32;	    err32
20250718;	103235;	1752814955.000;	 err32;	 err32;	    err32
20250718;	103240;	1752814960.000;	 err32;	 err32;	    err32
20250718;	103245;	1752814965.000;	 err32;	 err32;	    err32
20250718;	103250;	1752814970.000;	 err32;	 err32;	    err32
20250718;	103255;	1752814975.000;	 err32;	 err32;	    err32
20250718;	103300;	1752814980.000;	 err32;	 err32;	    err32
20250718;	103305;	1752814985.000;	 err32;	 err32;	    err32
20250718;	103310;	1752814990.000;	 err32;	 err32;	    err32
20250718;	103315;	1752814995.000;	 err32;	 err32;	    err32
20250718;	103320;	1752815000.000;	 err32;	 err32;	    err32
20250718;	103325;	1752815005.000;	 err32;	 err32;	    err32
20250718;	103330;	1752815010.000;	 err32;	 err32;	    err32
20250718;	103335;	1752815015.000;	 err32;	 err32;	    err32
20250718;	103340;	1752815020.000;	 err32;	 err32;	    err32
20250718;	103345;	1752815025.000;	 err32;	 err32;	    err32
20250718;	103350;	1752815030.000;	 err32;	 err32;	    err32
20250718;	103355;	1752815035.000;	 err32;	 err32;	    err32
20250718;	103400;	1752815040.000;	 err32;	 err32;	    err32
20250718;	103405;	1752815045.000;	 err32;	 err32;	    err32
20250718;	103410;	1752815050.000;	 err32;	 err32;	    err32
20250718;	103415;	1752815055.000;	 err32;	 err32;	    err32
20250718;	103420;	1752815060.000;	 err32;	 err32;	    err32
20250718;	103425;	1752815065.000;	 err32;	 err32;	    err32
20250718;	103430;	1752815070.000;	 err32;	 err32;	    err32
20250718;	103435;	1752815075.000;	 err32;	 err32;	    err32
20250718;	103440;	1752815080.000;	 err32;	 err32;	    err32
20250718;	103445;	1752815085.000;	 err32;	 err32;	    err32
20250718;	103450;	1752815090.000;	 err32;	 err32;	    err32
20250718;	103455;	1752815095.000;	 err32;	 err32;	    err32
20250718;	103500;	1752815100.000;	 err32;	 err32;	    err32
20250718;	103505;	1752815105.000;	 err32;	 err32;	    err32
20250718;	103510;	1752815110.000;	 err32;	 err32;	    err32
20250718;	103515;	1752815115.000;	 err32;	 err32;	    err32
20250718;	103520;	1752815120.000;	 err32;	 err32;	    err32
20250718;	103525;	1752815125.000;	 err32;	 err32;	    err32
20250718;	103530;	1752815130.000;	 err32;	 err32;	    err32
20250718;	103535;	1752815135.000;	 err32;	 err32;	    err32
20250718;	103540;	1752815140.000;	 err32;	 err32;	    err32
20250718;	103545;	1752815145.000;	 err32;	 err32;	    err32
20250718;	103550;	1752815150.000;	 err32;	 err32;	    err32
20250718;	103555;	1752815155.000;	 err32;	 err32;	    err32
20250718;	103600;	1752815160.000;	 err32;	 err32;	    err32
20250718;	103605;	1752815165.000;	 err32;	 err32;	    err32
20250718;	103610;	1752815170.000;	 err32;	 err32;	    err32
20250718;	103615;	1752815175.000;	 err32;	 err32;	    err32
20250718;	103620;	1752815180.000;	 err32;	 err32;	    err32
20250718;	103625;	1752815185.000;	 err32;	 err32;	    err32
20250718;	103630;	1752815190.000;	 err32;	 err32;	    err32
20250718;	103635;	1752815195.000;	 err32;	 err32;	    err32
20250718;	103640;	1752815200.000;	 err32;	 err32;	    err32
20250718;	103645;	1752815205.000;	 err32;	 err32;	    err32
20250718;	103650;	1752815210.000;	 err32;	 err32;	    err32
20250718;	103655;	1752815215.000;	 err32;	 err32;	    err32
20250718;	103700;	1752815220.000;	 err32;	 err32;	    err32
20250718;	103705;	1752815225.000;	 err32;	 err32;	    err32
20250718;	103710;	1752815230.000;	 err32;	 err32;	    err32
20250718;	103715;	1752815235.000;	 err32;	 err32;	    err32
20250718;	103720;	1752815240.000;	  err8;	  err8;	     err8
20250718;	103725;	1752815245.000;	  err8;	  err8;	     err8
20250718;	103730;	1752815250.000;	     1;	 err19;	    err19
20250718;	103735;	1752815255.000;	     1;	 err19;	    err19
20250718;	103740;	1752815260.000;	     1;	 err19;	    err19
20250718;	103745;	1752815265.000;	     1;	 err19;	    err19
20250718;	103750;	1752815270.000;	     1;	 err19;	    err19
20250718;	103755;	1752815275.000;	     1;	 err19;	    err19
20250718;	103800;	1752815280.000;	     1;	 err19;	    err19
20250718;	103805;	1752815285.000;	     1;	 err19;	    err19
20250718;	103810;	1752815290.000;	     1;	 err19;	    err19
20250718;	103815;	1752815295.000;	     1;	 err19;	    err19
20250718;	103820;	1752815300.000;	     1;	 err19;	    err19
20250718;	103825;	1752815305.000;	     1;	 err19;	    err19
20250718;	103830;	1752815310.000;	     1;	 err19;	    err19
20250718;	103835;	1752815315.000;	     1;	 err19;	    err19
20250718;	103840;	1752815320.000;	     1;	 err19;	    err19
20250718;	103845;	1752815325.000;	     1;	 err19;	    err19
20250718;	103850;	1752815330.000;	 err32;	 err32;	    err32
20250718;	103855;	1752815335.000;	 err32;	 err32;	    err32
20250718;	103900;	1752815340.000;	 err32;	 err32;	    err32
20250718;	103905;	1752815345.000;	 err32;	 err32;	    err32
20250718;	103910;	1752815350.000;	 err32;	 err32;	    err32
